acc,start,end,strand,chromosome,species,symbol,name,length
NP_032156.2,15478040,15726781,1,13,Mus_musculus,Gli3,transcriptional activator GLI3,248741
NP_032406.1,16017295,16027129,1,13,Mus_musculus,Inhba,inhibin beta A chain precursor,9834
NP_619595.3,16857854,17694732,-1,13,Mus_musculus,Sugct,succinate--hydroxymethylglutarate CoA-transferase,836878
NP_079755.1,17695484,17697042,1,13,Mus_musculus,Mplkip,M-phase-specific PLK1-interacting protein,1558
NP_081394.1,17718060,17804651,-1,13,Mus_musculus,Cdk13,cyclin-dependent kinase 13 isoform 2,86591
NP_062364.3,17882378,17897066,-1,13,Mus_musculus,Rala,ras-related protein Ral-A precursor,14688
NP_080180.1,17989379,17993306,-1,13,Mus_musculus,Yae1d1,yae1 domain-containing protein 1,3927
NP_778171.2,18125161,18382044,-1,13,Mus_musculus,Pou6f2,"POU domain, class 6, transcription factor 2",256883
NP_742118.3,18717315,18866200,1,13,Mus_musculus,Vps41,vacuolar protein sorting-associated protein 41 homolog,148885
NP_001276475.1,18948432,19149843,1,13,Mus_musculus,Amph,amphiphysin isoform 2,201411
NP_077232.2,19358992,19376603,-1,13,Mus_musculus,Stard3nl,MLN64 N-terminal domain homolog,17611
NP_598826.3,19593151,19619562,-1,13,Mus_musculus,Epdr1,mammalian ependymin-related protein 1 precursor,26411
NP_057896.1,19623432,19632379,1,13,Mus_musculus,Sfrp4,secreted frizzled-related sequence protein 4 precursor,8947
NP_001161381.1,19645219,19697036,-1,13,Mus_musculus,Nme8,thioredoxin domain-containing protein 3 isoform 2,51817
NP_783619.2,19728980,19729880,-1,13,Mus_musculus,A530099J19Rik,G protein-coupled receptor-like,900
NP_861419.3,19751685,19752603,-1,13,Mus_musculus,Gpr141,probable G-protein coupled receptor 141,918
NP_525027.1,20185426,20605299,1,13,Mus_musculus,Elmo1,engulfment and cell motility protein 1 isoform 3,419873
NP_001268783.1,20794393,20851690,1,13,Mus_musculus,Aoah,acyloxyacyl hydrolase isoform 2 preproprotein,57297
NP_666746.1,21072348,21073299,-1,13,Mus_musculus,Olfr1370,olfactory receptor 1370,951
NP_035114.1,21132776,21133730,1,13,Mus_musculus,Olfr263,olfactory receptor 263,954
NP_666745.1,21142110,21143055,-1,13,Mus_musculus,Olfr1368,olfactory receptor 1368,945
NP_033080.2,21180494,21192625,1,13,Mus_musculus,Trim27,zinc finger protein RFP,12131
NP_034473.2,21287365,21292660,-1,13,Mus_musculus,Gpx5,epididymal secretory glutathione peroxidase precursor,5295
NP_663426.2,21312257,21319083,1,13,Mus_musculus,Gpx6,glutathione peroxidase 6 precursor,6826
NP_666744.1,21346929,21347880,1,13,Mus_musculus,Olfr1367,olfactory receptor 1367,951
NP_057893.2,21363649,21369513,1,13,Mus_musculus,Zscan12,zinc finger and SCAN domain-containing protein 12,5864
NP_076174.3,21387798,21396516,-1,13,Mus_musculus,Zkscan3,zinc finger protein with KRAB and SCAN domains 3,8718
NP_001012311.2,21422774,21434485,-1,13,Mus_musculus,Pgbd1,piggyBac transposable element-derived protein 1 isoform b,11711
NP_001013808.2,21444930,21449455,-1,13,Mus_musculus,Zscan26,zinc finger and SCAN domain-containing protein 26,4525
NP_079995.2,21467253,21468441,-1,13,Mus_musculus,Nkapl,NKAP-like protein,1188
NP_001034204.1,21479092,21484736,1,13,Mus_musculus,Zkscan4,zinc finger protein with KRAB and SCAN domains 4,5644
NP_001238762.1,21520000,21526938,-1,13,Mus_musculus,Zkscan8,zinc finger protein 192 isoform 2,6938
NP_666395.2,21537016,21538003,-1,13,Mus_musculus,Olfr1366,olfactory receptor 1366,987
NP_997455.1,21555039,21556020,-1,13,Mus_musculus,Olfr1535,olfactory receptor 1535,981
NP_666751.2,21573509,21574454,-1,13,Mus_musculus,Olfr1364,olfactory receptor 1364,945
NP_666955.2,21611040,21611967,-1,13,Mus_musculus,Olfr1362,olfactory receptor 1362,927
NP_666753.2,21638579,21639521,-1,13,Mus_musculus,Olfr11,olfactory receptor 11,942
NP_666752.1,21658367,21659321,-1,13,Mus_musculus,Olfr1361,olfactory receptor 1361,954
NP_666754.2,21674000,21674942,-1,13,Mus_musculus,Olfr1360,olfactory receptor 1360,942
NP_001011820.1,21703002,21703944,1,13,Mus_musculus,Olfr1359,olfactory receptor 1359,942
NP_835506.1,21715762,21716143,-1,13,Mus_musculus,Hist1h2bl,histone H2B type 1-F/J/L,381
NP_835489.1,21716421,21716814,1,13,Mus_musculus,Hist1h2ai,histone H2A type 1,393
NP_835513.1,21717658,21718069,1,13,Mus_musculus,Hist1h3h,histone H3.1,411
NP_835507.1,21722097,21722478,1,13,Mus_musculus,Hist1h2bm,histone H2B type 1-M,381
NP_835582.1,21735095,21735407,1,13,Mus_musculus,Hist1h4j,histone H4,312
NP_835583.1,21750193,21750505,-1,13,Mus_musculus,Hist1h4k,histone H4,312
NP_835490.1,21753434,21753827,-1,13,Mus_musculus,Hist1h2ak,histone H2A type 1-K,393
NP_835508.1,21754122,21754503,1,13,Mus_musculus,Hist1h2bn,histone H2B type 1-F/J/L,381
NP_064418.1,21779882,21780554,-1,13,Mus_musculus,Hist1h1b,histone H1.5,672
NP_835514.1,21782959,21783370,-1,13,Mus_musculus,Hist1h3i,histone H3.1,411
NP_835491.1,21786825,21787218,-1,13,Mus_musculus,Hist1h2an,histone H2A type 1,393
NP_001277395.1,21787514,21787895,1,13,Mus_musculus,Hist1h2bp,histone H2B type 1-P isoform 2,381
NP_001091448.2,21808099,21810171,-1,13,Mus_musculus,Hist1h2bq,"H2b histone family, member A isoform 1",2072
NP_001171015.1,21810466,21810859,1,13,Mus_musculus,Hist1h2ao,histone H2A type 1,393
NP_001182350.1,21811783,21812095,1,13,Mus_musculus,Hist1h4m,histone H4,312
NP_783588.1,21831846,21832158,-1,13,Mus_musculus,Hist1h4n,histone H4,312
NP_835492.1,21833082,21833475,-1,13,Mus_musculus,Hist1h2ap,histone H2A type 1,393
NP_001300807.1,21833770,21834151,1,13,Mus_musculus,Hist1h2br,histone cluster 1 H2br isoform 2,381
NP_898835.1,21945792,21960339,1,13,Mus_musculus,Zfp184,zinc finger protein 184,14547
NP_001156400.1,21981560,21984479,1,13,Mus_musculus,Pom121l2,POM121-like protein 2 isoform 1,2919
NP_062302.1,22002753,22009697,-1,13,Mus_musculus,Prss16,thymus-specific serine protease precursor,6944
NP_783590.1,22035165,22035552,-1,13,Mus_musculus,Hist1h2ah,histone H2A type 1-H,387
NP_783596.1,22035886,22036267,1,13,Mus_musculus,Hist1h2bk,histone H2B type 1-K,381
NP_783587.1,22041011,22041323,-1,13,Mus_musculus,Hist1h4i,histone H4,312
NP_835493.1,22042534,22042927,-1,13,Mus_musculus,Hist1h2ag,histone H2A type 1,393
NP_835505.1,22043229,22043610,1,13,Mus_musculus,Hist1h2bj,histone H2B type 1-F/J/L,381
NP_665849.1,22087877,22088804,1,13,Mus_musculus,Vmn1r188,vomeronasal 1 receptor 188,927
NP_665843.1,22101726,22102665,-1,13,Mus_musculus,Vmn1r189,vomeronasal 1 receptor 189,939
NP_665848.1,22178685,22179582,-1,13,Mus_musculus,Vmn1r191,vomeronasal 1 receptor 191,897
NP_665844.1,22187145,22188048,-1,13,Mus_musculus,Vmn1r192,vomeronasal 1 receptor 192,903
NP_598986.1,22218860,22219820,-1,13,Mus_musculus,Vmn1r193,vomeronasal 1 receptor 193,960
NP_001074441.1,22244214,22245105,1,13,Mus_musculus,Vmn1r194,vomeronasal 1 receptor 194,891
NP_598984.2,22278361,22279312,1,13,Mus_musculus,Vmn1r195,"vomeronasal 1 receptor, I6",951
NP_001161013.1,22293192,22294098,1,13,Mus_musculus,Vmn1r196,vomeronasal 1 receptor 196,906
NP_599005.1,22327910,22328807,1,13,Mus_musculus,Vmn1r197,vomeronasal 1 receptor 197,897
NP_598981.1,22354345,22355248,1,13,Mus_musculus,Vmn1r198,vomeronasal 1 receptor 198,903
NP_598974.1,22382537,22383641,1,13,Mus_musculus,Vmn1r199,vomeronasal 1 receptor 199,1104
NP_598973.1,22395028,22395967,1,13,Mus_musculus,Vmn1r200,vomeronasal 1 receptor 200,939
NP_598972.2,22441271,22442243,1,13,Mus_musculus,Vmn1r-ps103,"vomeronasal 1 receptor, H1",972
NP_598982.1,22474617,22475520,1,13,Mus_musculus,Vmn1r201,vomeronasal 1 receptor 201,903
NP_598985.1,22501336,22502245,-1,13,Mus_musculus,Vmn1r202,vomeronasal 1 receptor 202,909
NP_598997.1,22524050,22524986,1,13,Mus_musculus,Vmn1r203,vomeronasal 1 receptor 203,936
NP_001039009.1,22556200,22557109,1,13,Mus_musculus,Vmn1r204,vomeronasal 1 receptor 204,909
NP_598978.1,22591979,22592930,-1,13,Mus_musculus,Vmn1r205,vomeronasal 1 receptor 205,951
NP_598977.1,22620096,22621035,-1,13,Mus_musculus,Vmn1r206,vomeronasal 1 receptor 206,939
NP_001160181.1,22725683,22726622,-1,13,Mus_musculus,Vmn1r207-ps,"vomeronasal 1 receptor 207, pseudogene",939
NP_598979.1,22772398,22773325,-1,13,Mus_musculus,Vmn1r208,vomeronasal 1 receptor 208,927
NP_001013809.1,22805579,22806518,-1,13,Mus_musculus,Vmn1r209,vomeronasal 1 receptor 209,939
NP_598996.1,22827193,22828114,-1,13,Mus_musculus,Vmn1r210,vomeronasal 1 receptor 210,921
NP_599004.1,22851598,22852495,-1,13,Mus_musculus,Vmn1r211,vomeronasal 1 receptor 211,897
NP_599002.1,22883087,22884161,-1,13,Mus_musculus,Vmn1r212,vomeronasal 1 receptor 212,1074
NP_598976.1,23011248,23012403,1,13,Mus_musculus,Vmn1r213,vomeronasal 1 receptor 213,1155
NP_598975.1,23034337,23035441,1,13,Mus_musculus,Vmn1r214,vomeronasal 1 receptor 214,1104
NP_598980.1,23075791,23076694,1,13,Mus_musculus,Vmn1r215,vomeronasal 1 receptor 215,903
NP_599006.1,23099148,23100045,1,13,Mus_musculus,Vmn1r216,vomeronasal 1 receptor 216,897
NP_599000.1,23113833,23114730,-1,13,Mus_musculus,Vmn1r217,vomeronasal 1 receptor 217,897
NP_598983.1,23136484,23137381,1,13,Mus_musculus,Vmn1r218,vomeronasal 1 receptor 218,897
NP_598999.1,23162642,23163581,1,13,Mus_musculus,Vmn1r219,vomeronasal 1 receptor 219,939
NP_598998.1,23183627,23184524,-1,13,Mus_musculus,Vmn1r220,vomeronasal 1 receptor 220,897
NP_001161014.1,23217372,23218311,1,13,Mus_musculus,Vmn1r221,vomeronasal 1 receptor 221,939
NP_599001.1,23232114,23233041,-1,13,Mus_musculus,Vmn1r222,vomeronasal 1 receptor 222,927
NP_001076780.1,23249237,23250323,1,13,Mus_musculus,Vmn1r223,vomeronasal 1 receptor 223,1086
NP_001104577.1,23356337,23357570,-1,13,Mus_musculus,Zfp322a,zinc finger protein 322,1233
NP_038952.1,23421972,23423832,-1,13,Mus_musculus,Abt1,activator of basal transcription 1,1860
NP_038511.1,23458702,23465180,-1,13,Mus_musculus,Btn1a1,butyrophilin subfamily 1 member A1 precursor,6478
NP_001276543.1,23478233,23487917,-1,13,Mus_musculus,Btn2a2,butyrophilin subfamily 2 member A2 isoform 2 precursor,9684
NP_694813.1,23531114,23531426,1,13,Mus_musculus,Hist1h4h,histone H4,312
NP_783592.1,23533910,23534303,1,13,Mus_musculus,Hist1h2af,histone H2A type 1-F,393
NP_659539.1,23535445,23535856,1,13,Mus_musculus,Hist1h3g,histone H3.1,411
NP_835504.1,23542971,23543352,-1,13,Mus_musculus,Hist1h2bh,histone H2B type 1-H,381
NP_038576.1,23544484,23544895,1,13,Mus_musculus,Hist1h3f,histone H3.2,411
NP_783586.1,23551331,23551643,-1,13,Mus_musculus,Hist1h4f,histone H4,312
NP_663759.3,23555089,23555755,1,13,Mus_musculus,Hist1h1d,histone H1.3,666
NP_835512.1,23561954,23562365,-1,13,Mus_musculus,Hist1h3e,histone H3.2,411
NP_835494.1,23570715,23571108,-1,13,Mus_musculus,Hist1h2ae,histone H2A type 1,393
NP_835503.1,23571432,23571813,1,13,Mus_musculus,Hist1h2bg,histone H2B type 1-C/E/G,381
NP_835502.1,23573809,23574190,-1,13,Mus_musculus,Hist1h2bf,histone H2B type 1-F/J/L,381
NP_835495.1,23574470,23574863,1,13,Mus_musculus,Hist1h2ad,histone H2A type 1,393
NP_835511.1,23575801,23576212,1,13,Mus_musculus,Hist1h3d,histone H3.2,411
NP_783585.1,23581601,23581913,1,13,Mus_musculus,Hist1h4d,histone H4,312
NP_001171124.1,23585575,23585956,-1,13,Mus_musculus,Hist1h2be,histone H2B type 1-C/E/G,381
NP_056602.1,23621837,23622497,-1,13,Mus_musculus,Hist1h1e,histone H1.4,660
NP_835496.1,23683524,23683917,-1,13,Mus_musculus,Hist1h2ac,histone H2A type 1,393
NP_001277309.1,23684231,23684612,1,13,Mus_musculus,Hist1h2bc,histone H2B type 1-C/E/G,381
NP_034507.2,23695865,23696495,1,13,Mus_musculus,Hist1h1t,histone H1t,630
NP_835515.1,23698137,23698449,-1,13,Mus_musculus,Hist1h4c,histone H4,312
NP_034554.2,23704385,23710714,-1,13,Mus_musculus,Hfe,hereditary hemochromatosis protein homolog precursor,6329
NP_056601.1,23738848,23739487,1,13,Mus_musculus,Hist1h1c,histone H1.2,639
NP_783584.1,23745086,23745497,-1,13,Mus_musculus,Hist1h3c,histone H3.2,411
NP_783595.1,23746794,23747175,1,13,Mus_musculus,Hist1h2bb,histone H2B type 1-B,381
NP_783591.2,23751132,23751525,1,13,Mus_musculus,Hist1h2ab,histone H2A type 1,393
NP_835510.1,23752379,23752790,1,13,Mus_musculus,Hist1h3b,histone H3.2,411
NP_835500.1,23757020,23757332,1,13,Mus_musculus,Hist1h4b,histone H4,312
NP_835499.1,23760845,23761157,-1,13,Mus_musculus,Hist1h4a,histone H4,312
NP_038578.2,23761942,23762353,-1,13,Mus_musculus,Hist1h3a,histone H3.1,411
NP_085112.1,23763716,23764358,1,13,Mus_musculus,Hist1h1a,histone H1.1,642
NP_001025106.1,23782571,23791495,1,13,Mus_musculus,Trim38,E3 ubiquitin-protein ligase TRIM38,8924
NP_659085.1,23810799,23822302,1,13,Mus_musculus,Slc17a2,sodium-dependent phosphate transport protein 3,11503
NP_598830.2,23842449,23858113,1,13,Mus_musculus,Slc17a3,sodium-dependent phosphate transport protein 4 isoform 1,15664
NP_001164109.1,23872599,23892669,1,13,Mus_musculus,Slc17a1,sodium-dependent phosphate transport protein 1,20070
NP_795990.2,23898774,23908847,-1,13,Mus_musculus,Slc17a4,probable small intestine urate exporter,10073
NP_783594.1,23933772,23934156,-1,13,Mus_musculus,Hist1h2ba,histone H2B type 1-A,384
NP_783589.1,23934461,23934851,1,13,Mus_musculus,Hist1h2aa,"histone cluster 1, H2aa",390
NP_663374.1,23953855,23991033,-1,13,Mus_musculus,Scgn,secretagogin,37178
NP_081101.3,24013326,24280600,-1,13,Mus_musculus,Lrrc16a,F-actin-uncapping protein LRRC16A isoform 1,267274
NP_031743.3,24416999,24468622,1,13,Mus_musculus,Cmah,cytidine monophosphate-N-acetylneuraminic acid hydroxylase isoform a,51623
NP_848773.3,24614689,24704841,1,13,Mus_musculus,Fam65b,protein FAM65B isoform 3,90152
XP_011242665.1,24741274,24746489,1,13,Mus_musculus,1700016G14Rik,uncharacterized protein C6orf229 homolog,5215
NP_065592.1,24752068,24760210,-1,13,Mus_musculus,Gmnn,geminin,8142
NP_077793.1,24803380,24812762,1,13,Mus_musculus,BC005537,uncharacterized protein C6orf62 homolog,9382
NP_080066.1,24818034,24831306,-1,13,Mus_musculus,Acot13,acyl-coenzyme A thioesterase 13,13272
NP_062424.1,24831731,24841362,1,13,Mus_musculus,Tdp2,tyrosyl-DNA phosphodiesterase 2,9631
NP_001074520.1,24854500,24899799,1,13,Mus_musculus,D130043K22Rik,dyslexia-associated protein KIAA0319 homolog precursor,45299
NP_766120.1,24911560,24937568,-1,13,Mus_musculus,Aldh5a1,"succinate-semialdehyde dehydrogenase, mitochondrial precursor",26008
NP_032182.2,24943616,24990122,1,13,Mus_musculus,Gpld1,phosphatidylinositol-glycan-specific phospholipase D precursor,46506
NP_001013407.2,24993077,25020244,-1,13,Mus_musculus,Mrs2,"magnesium transporter MRS2 homolog, mitochondrial precursor",27167
NP_001182546.1,25056270,25120552,1,13,Mus_musculus,Dcdc2a,doublecortin domain-containing protein 2 isoform 2,64282
NP_033539.1,25253352,25262391,-1,13,Mus_musculus,Nrsn1,neurensin-1,9039
NP_032258.2,26769236,26770088,-1,13,Mus_musculus,Hdgfl1,hepatoma-derived growth factor-like protein 1,852
NP_035294.2,27057623,27065050,1,13,Mus_musculus,Prl,prolactin isoform 1 precursor,7427
NP_001192251.1,27094252,27100121,1,13,Mus_musculus,Prl3d1,prolactin-3D1 isoform 1 precursor,5869
NP_742167.1,27121741,27127418,1,13,Mus_musculus,Prl3d2,"prolactin family 3, subfamily d, member 1 precursor",5677
NP_742168.1,27156836,27162456,1,13,Mus_musculus,Prl3d3,"prolactin family 3, subfamily d, member 3 precursor",5620
NP_038794.1,27196705,27203612,1,13,Mus_musculus,Prl3c1,prolactin-3C1 isoform 1 precursor,6907
NP_032891.1,27242488,27249532,1,13,Mus_musculus,Prl3b1,prolactin-3B1 precursor,7044
NP_080172.1,27259644,27276218,1,13,Mus_musculus,Prl3a1,"prolactin family 3, subfamily a, member 1 precursor",16574
NP_035296.1,27312664,27319115,1,13,Mus_musculus,Prl6a1,prolactin-6A1 precursor,6451
NP_034218.1,27345736,27354064,1,13,Mus_musculus,Prl8a2,"prolactin family 8, subfamily a, member 2 isoform 1 precursor",8328
NP_079808.1,27383451,27390776,-1,13,Mus_musculus,Prl2b1,prolactin-2B1 precursor,7325
NP_035297.1,27432982,27438588,-1,13,Mus_musculus,Prl8a6,prolactin-8A6 isoform b precursor,5606
NP_076230.1,27507181,27513154,-1,13,Mus_musculus,Prl8a8,prolactin-8A8 isoform 2 precursor,5973
NP_001303650.1,27558150,27564546,-1,13,Mus_musculus,Prl8a9,prolactin-8A9 isoform 2 precursor,6396
NP_082753.1,27574001,27582110,-1,13,Mus_musculus,Prl8a1,"prolactin family 8, subfamily a, member 1 precursor",8109
NP_083631.1,27601927,27610522,-1,13,Mus_musculus,Prl7b1,prolactin-7B1 precursor,8595
NP_032956.1,27633478,27642450,-1,13,Mus_musculus,Prl7a1,prolactin-7A1 isoform 2 precursor,8972
NP_035298.1,27659056,27667994,-1,13,Mus_musculus,Prl7a2,prolactin-7A2 precursor,8938
NP_035250.1,27709191,27716669,-1,13,Mus_musculus,Prl7d1,prolactin-7D1 precursor,7478
NP_080482.1,27773699,27780749,-1,13,Mus_musculus,Prl7c1,prolactin-7C1 precursor,7050
NP_064375.1,27801702,27808581,1,13,Mus_musculus,Prl2a1,prolactin-2A1 precursor,6879
NP_001038997.1,27849401,27857683,1,13,Mus_musculus,Prl2c1,"Prolactin family 2, subfamily c, member 1 precursor",8282
NP_035295.1,28016272,28023428,1,13,Mus_musculus,Prl4a1,prolactin-4A1 precursor,7156
NP_076235.1,28142542,28151302,1,13,Mus_musculus,Prl5a1,prolactin-5A1 precursor,8760
NP_033264.2,28951698,28953021,-1,13,Mus_musculus,Sox4,transcription factor SOX-4,1323
NP_653119.1,29326036,29850108,-1,13,Mus_musculus,Cdkal1,threonylcarbamoyladenosine tRNA methylthiotransferase isoform 1,524072
NP_001276849.1,29909902,29984145,-1,13,Mus_musculus,E2f3,transcription factor E2F3 isoform E2f3b,74243
NP_705774.1,30136666,30245469,1,13,Mus_musculus,Mboat1,lysophospholipid acyltransferase 1,108803
NP_796296.1,30380953,30382033,1,13,Mus_musculus,Agtr1a,type-1A angiotensin II receptor,1080
NP_079986.1,30540730,30545247,-1,13,Mus_musculus,Uqcrfs1,"cytochrome b-c1 complex subunit Rieske, mitochondrial",4517
NP_001033044.1,30660125,30708859,1,13,Mus_musculus,Dusp22,dual specificity protein phosphatase 22 isoform a,48734
NP_038702.1,30750579,30763667,1,13,Mus_musculus,Irf4,interferon regulatory factor 4,13088
NP_079864.1,30815297,30940727,-1,13,Mus_musculus,Exoc2,exocyst complex component 2,125430
NP_694712.1,30946843,30947674,-1,13,Mus_musculus,Hus1b,checkpoint protein HUS1B,831
NP_032265.3,31558916,31560119,1,13,Mus_musculus,Foxq1,forkhead box protein Q1,1203
NP_034355.2,31626079,31630645,1,13,Mus_musculus,Foxf2,forkhead box protein F2,4566
NP_032618.2,31807207,31808869,1,13,Mus_musculus,Foxc1,forkhead box protein C1,1662
NP_666153.1,31819915,32338483,-1,13,Mus_musculus,Gmds,"GDP-mannose 4,6 dehydratase",518568
NP_001159502.1,32708904,32781716,-1,13,Mus_musculus,Mylk4,myosin light chain kinase family member 4,72812
NP_084491.3,32802237,32822159,1,13,Mus_musculus,Wrnip1,ATPase WRNIP1,19922
NP_079705.2,32842817,32850406,-1,13,Mus_musculus,Serpinb1a,leukocyte elastase inhibitor A,7589
NP_766639.2,32881832,32897098,-1,13,Mus_musculus,Serpinb1c,leukocyte elastase inhibitor C,15266
NP_035584.1,32968509,32978353,1,13,Mus_musculus,Serpinb6b,"serine (or cysteine) proteinase inhibitor, clade B, member 6b",9844
NP_033282.1,33006542,33015848,1,13,Mus_musculus,Serpinb9,"serine (or cysteine) proteinase inhibitor, clade B, member 9",9306
NP_035582.1,33029461,33039960,1,13,Mus_musculus,Serpinb9b,"serine (or cysteine) proteinase inhibitor, clade B, member 9b",10499
NP_766640.1,33085285,33093934,1,13,Mus_musculus,Serpinb1b,leukocyte elastase inhibitor B,8649
NP_035583.1,33149977,33157824,-1,13,Mus_musculus,Serpinb9c,"serine (or cysteine) proteinase inhibitor, clade B, member 9c isoform 2",7847
NP_035590.1,33194572,33203084,1,13,Mus_musculus,Serpinb9d,"serine (or cysteine) proteinase inhibitor, clade B, member 9d",8512
