acc,species,chromosome,symbol,start,end,length,strand
NP_001070433.1,Bos_taurus,23,SLC35B2,17875755,17878469,2714,-1
NP_001124218.1,Bos_taurus,23,NFKBIE,17880438,17886997,6559,-1
NP_001192792.1,Bos_taurus,23,TMEM151B,17891618,17895776,4158,1
NP_001098478.1,Bos_taurus,23,SUPT3H,18223259,18611124,387865,-1
NP_776701.1,Bos_taurus,23,CLIC5,19167448,19333118,165670,-1
NP_001075004.1,Bos_taurus,23,ENPP4,19375919,19380975,5056,1
NP_001193653.1,Bos_taurus,23,ENPP5,19388632,19395174,6542,-1
NP_001300961.1,Bos_taurus,23,RCAN2,19437662,19667184,229522,-1
NP_001015632.2,Bos_taurus,23,RCAN2,19437662,19537357,99695,-1
NP_001092408.1,Bos_taurus,23,CYP39A1,19777772,19860182,82410,-1
NP_001193123.1,Bos_taurus,23,SLC25A27,19860794,19882600,21806,1
NP_001179259.1,Bos_taurus,23,TDRD6,19892714,19903575,10861,1
NP_777003.2,Bos_taurus,23,PLA2G7,19907187,19928621,21434,-1
XP_002697314.1,Bos_taurus,23,ANKRD66,19956588,19965986,9398,1
XP_010816580.1,Bos_taurus,23,MEP1A,20014169,20040232,26063,1
NP_001180172.1,Bos_taurus,23,ADGRF5,20053545,20110595,57050,-1
NP_001179256.1,Bos_taurus,23,ADGRF1,20206492,20236403,29911,-1
XP_002697352.4,Bos_taurus,23,LOC100296156,20383917,20384229,312,1
NP_001070379.1,Bos_taurus,23,TNFRSF21,20412019,20474574,62555,-1
NP_001193468.1,Bos_taurus,23,CD2AP,20597063,20680179,83116,1
NP_001178191.1,Bos_taurus,23,ADGRF2,20708928,20731119,22191,1
NP_001137347.1,Bos_taurus,23,ADGRF4,20745535,20758331,12796,1
NP_001193009.1,Bos_taurus,23,OPN5,20801931,20834318,32387,1
XP_015315313.1,Bos_taurus,23,LOC107131722,20893700,20895233,1533,-1
NP_001095613.1,Bos_taurus,23,PTCHD4,21090639,21091248,609,-1
NP_776364.2,Bos_taurus,23,MUT,21938807,21972915,34108,-1
NP_001071533.1,Bos_taurus,23,CENPQ,21985013,21997135,12122,1
NP_001138533.1,Bos_taurus,23,GLYATL3,22011841,22024395,12554,1
NP_001139125.1,Bos_taurus,23,C23H6orf141,22040538,22041105,567,1
NP_776596.1,Bos_taurus,23,RHAG,22088890,22109630,20740,-1
NP_001033178.1,Bos_taurus,23,CRISP2,22131367,22146648,15281,-1
NP_001073103.1,Bos_taurus,23,CRISP3,22164420,22178460,14040,-1
NP_001116507.1,Bos_taurus,23,PGK2,22221076,22222330,1254,-1
NP_001193188.1,Bos_taurus,23,CRISP1,22245232,22261583,16351,-1
XP_002697354.1,Bos_taurus,23,DEFB110,22369893,22374864,4971,-1
XP_015315314.1,Bos_taurus,23,DEFB112,22381952,22423235,41283,-1
NP_001179258.1,Bos_taurus,23,TFAP2D,22998427,23057489,59062,1
NP_001069715.1,Bos_taurus,23,TFAP2B,23097807,23122686,24879,1
XP_002697357.2,Bos_taurus,23,PKHD1,23795771,24250799,455028,-1
NP_001008412.1,Bos_taurus,23,IL17A,24347044,24350010,2966,1
NP_001179011.1,Bos_taurus,23,IL17F,24391184,24397891,6707,-1
NP_001013604.2,Bos_taurus,23,MCM3,24439485,24456276,16791,-1
XP_015315334.1,Bos_taurus,23,LOC107131728,24547395,24547635,240,1
NP_001094605.1,Bos_taurus,23,PAQR8,24567893,24568958,1065,1
NP_001179173.1,Bos_taurus,23,EFHC1,24588128,24627606,39478,1
NP_001180079.1,Bos_taurus,23,TRAM2,24638149,24702830,64681,-1
NP_001029551.1,Bos_taurus,23,TMEM14A,24807975,24813528,5553,1
NP_803481.1,Bos_taurus,23,GSTA2,24823887,24831484,7597,-1
NP_001071617.1,Bos_taurus,23,GSTA3,24875680,24883511,7831,-1
NP_001092486.1,Bos_taurus,23,GSTA5,24895015,24909300,14285,-1
NP_001070580.1,Bos_taurus,23,GSTA3,24935716,24948163,12447,-1
NP_001015651.1,Bos_taurus,23,GSTA4,24963701,24976300,12599,-1
NP_001092357.1,Bos_taurus,23,ICK,24984469,25012392,27923,-1
NP_001029584.1,Bos_taurus,23,FBXO9,25030689,25051289,20600,1
NP_001179034.1,Bos_taurus,23,GCM1,25067220,25084501,17281,-1
NP_001192219.1,Bos_taurus,23,GCM1,25067220,25084501,17281,-1
NP_001040062.1,Bos_taurus,23,ELOVL5,25157473,25186845,29372,-1
XP_015315336.1,Bos_taurus,23,BOLA-DQA2,25351285,25356908,5623,-1
NP_001012694.2,Bos_taurus,23,BOLA-DQB,25375347,25388103,12756,1
NP_001012693.2,Bos_taurus,23,BOLA-DQA5,25405112,25411578,6466,-1
XP_003587740.1,Bos_taurus,23,LOC100848815,25426572,25430097,3525,-1
XP_015330756.1,Bos_taurus,23,BOLA-DRB3,25472160,25476537,4377,1
NP_001013619.3,Bos_taurus,23,BOLA-DQA1,25489989,25490245,256,-1
XP_010816599.2,Bos_taurus,23,BOLA-DRB2,25539596,25557851,18255,1
XP_015315343.1,Bos_taurus,23,LOC101902890,25574617,25586120,11503,1
NP_001012695.1,Bos_taurus,23,BOLA-DRA,25588639,25592144,3505,-1
NP_001095821.1,Bos_taurus,23,BTNL2,25618595,25631944,13349,1
NP_001075192.1,Bos_taurus,23,LOC525599,25634966,25642597,7631,-1
NP_001029379.1,Bos_taurus,23,LOC504295,25649539,25656197,6658,1
NP_001029840.2,Bos_taurus,23,BLA-DQB,25855492,25862994,7502,-1
XP_015315347.1,Bos_taurus,23,LOC104972343,26226530,26269588,43058,1
XP_015315348.1,Bos_taurus,23,LOC107131729,26404304,26412906,8602,1
XP_015315385.1,Bos_taurus,23,C23H6orf10,26726613,26795033,68420,1
XP_002697389.3,Bos_taurus,23,LOC786065,26932836,26938393,5557,1
NP_001193877.1,Bos_taurus,23,NOTCH4,26973190,26998620,25430,1
NP_001243812.1,Bos_taurus,23,PBX2,27003268,27006729,3461,1
NP_776407.1,Bos_taurus,23,AGER,27008849,27011781,2932,1
NP_001098915.1,Bos_taurus,23,RNF5,27012545,27014357,1812,-1
NP_803484.1,Bos_taurus,23,AGPAT1,27021362,27023483,2121,1
NP_001092657.1,Bos_taurus,23,EGFL8,27024789,27026621,1832,-1
NP_001030395.2,Bos_taurus,23,PPT2,27028828,27035444,6616,-1
NP_001070415.1,Bos_taurus,23,PRRT1,27038297,27040649,2352,1
NP_001095452.1,Bos_taurus,23,FKBPL,27056298,27057274,976,1
NP_001077152.1,Bos_taurus,23,ATF6B,27057896,27067313,9417,1
XP_005223750.1,Bos_taurus,23,LOC107131209,27076266,27079933,3667,1
XP_015315387.1,Bos_taurus,23,LOC107131730,27083668,27084155,487,1
NP_777128.1,Bos_taurus,23,TNXB,27085606,27140674,55068,-1
XP_015315388.1,Bos_taurus,23,LOC781663,27152124,27162956,10832,1
NP_001013614.1,Bos_taurus,23,CYP21,27169511,27172439,2928,-1
NP_001091466.1,Bos_taurus,23,STK19,27199777,27206513,6736,-1
NP_001014872.2,Bos_taurus,23,DXO,27207267,27209706,2439,1
XP_003587743.1,Bos_taurus,23,LOC100139548,27209206,27219157,9951,-1
NP_001069672.1,Bos_taurus,23,NELFE,27219882,27225046,5164,1
NP_001035616.1,Bos_taurus,23,CFB,27225317,27231182,5865,-1
NP_001029664.1,Bos_taurus,23,C2,27232001,27243331,11330,-1
XP_005223753.1,Bos_taurus,23,ZBTB12,27274033,27275413,1380,1
XP_010816681.1,Bos_taurus,23,ZBTB12,27274033,27275413,1380,1
XP_010816682.1,Bos_taurus,23,ZBTB12,27274033,27275413,1380,1
XP_010816683.1,Bos_taurus,23,ZBTB12,27274033,27275413,1380,1
XP_015315391.1,Bos_taurus,23,ZBTB12,27274033,27275413,1380,1
NP_001193192.1,Bos_taurus,23,EHMT2,27277595,27291159,13564,1
NP_001076911.1,Bos_taurus,23,SLC44A4,27291972,27305226,13254,1
NP_001077111.1,Bos_taurus,23,NEU1,27305749,27309102,3353,1
NP_976067.2,Bos_taurus,23,HSPA1A,27331772,27333698,1926,-1
NP_001161367.1,Bos_taurus,23,HSPA1L,27336058,27337984,1926,1
NP_001094647.1,Bos_taurus,23,LSM2,27339721,27344137,4416,1
NP_001068674.1,Bos_taurus,23,VWA7,27356280,27364477,8197,-1
XP_002697393.2,Bos_taurus,23,VARS,27365290,27373768,8478,-1
NP_001075936.1,Bos_taurus,23,SAPCD1,27374662,27375211,549,-1
NP_001192428.1,Bos_taurus,23,MSH5,27376010,27389175,13165,-1
NP_001015608.1,Bos_taurus,23,CLIC1,27393514,27398704,5190,1
NP_001029876.1,Bos_taurus,23,DDAH2,27400387,27402628,2241,1
NP_001071549.1,Bos_taurus,23,C23H6orf25,27404677,27406348,1671,-1
NP_001071324.1,Bos_taurus,23,LY6G6C,27407664,27409835,2171,1
XP_003587745.1,Bos_taurus,23,LY6G6D,27411104,27412890,1786,-1
NP_001074989.1,Bos_taurus,23,LY6G6E,27414664,27415981,1317,1
NP_001069662.1,Bos_taurus,23,LY6G6F,27417917,27420583,2666,-1
NP_001069073.1,Bos_taurus,23,ABHD16A,27423467,27435476,12009,1
XP_010816698.1,Bos_taurus,23,LY6G5C,27440559,27442830,2271,1
NP_001179131.1,Bos_taurus,23,LY6G5B,27445629,27446642,1013,-1
NP_001039919.1,Bos_taurus,23,CSNK2B,27447650,27450752,3102,-1
NP_001069936.1,Bos_taurus,23,GPANK1,27453294,27454932,1638,1
NP_001094737.1,Bos_taurus,23,C23H6orf47,27457507,27458401,894,1
NP_001029429.2,Bos_taurus,23,APOM,27459385,27461297,1912,-1
NP_001068834.2,Bos_taurus,23,BAG6,27464366,27474569,10203,1
NP_001192486.1,Bos_taurus,23,PRRC2A,27475780,27488714,12934,-1
NP_776410.1,Bos_taurus,23,AIF1,27503302,27505358,2056,-1
NP_001035614.1,Bos_taurus,23,NCR3,27521487,27523736,2249,1
NP_776391.2,Bos_taurus,23,TNF,27534701,27536481,1780,-1
NP_001013419.1,Bos_taurus,23,LTA,27538543,27539457,914,-1
NP_001015597.1,Bos_taurus,23,NFKBIL1,27550805,27560565,9760,-1
NP_001069132.1,Bos_taurus,23,ATP6V1G2,27561650,27562821,1171,1
NP_001028801.1,Bos_taurus,23,DDX39B,27567309,27576518,9209,1
XP_002697394.1,Bos_taurus,23,MCCD1,27576912,27578064,1152,-1
XP_010816685.2,Bos_taurus,23,MGC126945,27600072,27602201,2129,1
NP_001108327.1,Bos_taurus,23,BoLA,27647098,27651987,4889,1
NP_001120789.1,Bos_taurus,23,MIC1,27659408,27729696,70288,-1
XP_015315396.1,Bos_taurus,23,BOLA,27689389,27691564,2175,1
XP_015315397.1,Bos_taurus,23,LOC788634,27715004,27718274,3270,1
NP_777005.1,Bos_taurus,23,POU5F1,27769892,27774392,4500,1
NP_001077153.1,Bos_taurus,23,TCF19,27776232,27778556,2324,-1
NP_001019707.1,Bos_taurus,23,CCHCR1,27780957,27791106,10149,1
NP_001073843.1,Bos_taurus,23,PSORS1C2,27793301,27794338,1037,1
NP_001071418.1,Bos_taurus,23,CDSN,27808500,27812246,3746,1
NP_001193388.1,Bos_taurus,23,LOC616942,27842301,27845887,3586,1
XP_002697398.4,Bos_taurus,23,MUC21,27908223,27912268,4045,-1
XP_005223770.1,Bos_taurus,23,DPCR1,27927623,27936148,8525,-1
NP_001107995.1,Bos_taurus,23,SFTA2,27945614,27946212,598,1
NP_001243473.1,Bos_taurus,23,VARS2,27949848,27961390,11542,-1
NP_001094527.1,Bos_taurus,23,GTF2H4,27962286,27967930,5644,-1
NP_001069480.2,Bos_taurus,23,DDR1,27976470,27986825,10355,-1
XP_015315398.1,Bos_taurus,23,LOC107131732,27991050,27994058,3008,-1
NP_001068670.1,Bos_taurus,23,IER3,28088485,28089056,571,1
NP_001070355.1,Bos_taurus,23,FLOT1,28090672,28099794,9122,1
NP_001040014.1,Bos_taurus,23,TUBB,28101901,28105152,3251,-1
NP_001032685.1,Bos_taurus,23,NRM,28112227,28114509,2282,-1
XP_002697401.2,Bos_taurus,23,MDC1,28117863,28128504,10641,-1
NP_001070387.1,Bos_taurus,23,PPP1R18,28128502,28136174,7672,1
NP_001193139.1,Bos_taurus,23,DHX16,28140392,28152392,12000,1
NP_001033267.1,Bos_taurus,23,C23H6orf136,28152846,28156283,3437,-1
NP_001263252.1,Bos_taurus,23,ATAT1,28156840,28169399,12559,-1
