acc,species,chromosome,start,end,strand
ENSG00000171942,Homo_sapiens,19,15728020,15729060,1
ENSG00000167562,Homo_sapiens,19,52570664,52587174,1
ENSG00000283758,Homo_sapiens,19,35586173,35587296,1
ENSG00000228567,Homo_sapiens,19,53266676,53267723,-1
ENSG00000176472,Homo_sapiens,19,43533413,43535801,1
ENSG00000198342,Homo_sapiens,19,12349701,12363631,-1
ENSG00000105011,Homo_sapiens,19,14121287,14136574,-1
ENSG00000090554,Homo_sapiens,19,49478917,49481581,1
ENSG00000105254,Homo_sapiens,19,36115838,36125945,1
ENSG00000126251,Homo_sapiens,19,35371290,35372471,1
ENSG00000182566,Homo_sapiens,19,7730821,7733906,-1
ENSG00000196357,Homo_sapiens,19,36182060,36214673,-1
ENSG00000196337,Homo_sapiens,19,49054275,49055779,-1
ENSG00000125755,Homo_sapiens,19,45818955,45855710,-1
ENSG00000204936,Homo_sapiens,19,43353659,43363172,1
ENSG00000167747,Homo_sapiens,19,50797705,50804715,-1
ENSG00000205209,Homo_sapiens,19,34593442,34675699,-1
ENSG00000132016,Homo_sapiens,19,13885270,13889941,-1
ENSG00000160994,Homo_sapiens,19,15010744,15023269,1
ENSG00000258405,Homo_sapiens,19,52492830,52511142,1
ENSG00000130751,Homo_sapiens,19,47035348,47041125,1
ENSG00000105173,Homo_sapiens,19,29812654,29824308,1
ENSG00000099203,Homo_sapiens,19,10833051,10836195,-1
ENSG00000104941,Homo_sapiens,19,45795765,45815228,-1
ENSG00000105668,Homo_sapiens,19,35666516,35678483,1
ENSG00000125733,Homo_sapiens,19,6739762,6751464,1
ENSG00000220008,Homo_sapiens,19,2289784,2292024,-1
ENSG00000115268,Homo_sapiens,19,1438422,1440494,1
ENSG00000105738,Homo_sapiens,19,37907228,38208372,1
ENSG00000161914,Homo_sapiens,19,11483427,11505923,-1
ENSG00000174898,Homo_sapiens,19,5720677,5778734,1
ENSG00000152433,Homo_sapiens,19,57371629,57377417,1
ENSG00000142512,Homo_sapiens,19,51411054,51417698,-1
ENSG00000130544,Homo_sapiens,19,7069705,7087968,1
ENSG00000166704,Homo_sapiens,19,57979154,58002827,-1
ENSG00000089356,Homo_sapiens,19,35116262,35124323,1
ENSG00000105641,Homo_sapiens,19,17871973,17895174,1
ENSG00000080511,Homo_sapiens,19,10013249,10022279,1
ENSG00000063244,Homo_sapiens,19,55662499,55674239,1
ENSG00000183709,Homo_sapiens,19,39268514,39270092,1
ENSG00000130175,Homo_sapiens,19,11436118,11450940,1
ENSG00000231924,Homo_sapiens,19,42871801,42878424,-1
ENSG00000105388,Homo_sapiens,19,41708649,41727352,1
ENSG00000196757,Homo_sapiens,19,11925068,11950773,1
ENSG00000268133,Homo_sapiens,19,57363566,57398584,1
ENSG00000233493,Homo_sapiens,19,55379245,55384598,-1
ENSG00000182087,Homo_sapiens,19,1012113,1014304,-1
ENSG00000104915,Homo_sapiens,19,13145303,13150383,-1
ENSG00000079805,Homo_sapiens,19,10830338,10833488,1
ENSG00000213999,Homo_sapiens,19,19145593,19170289,-1
ENSG00000269533,Homo_sapiens,19,57390008,57419994,1
ENSG00000181894,Homo_sapiens,19,58126330,58142664,-1
ENSG00000105127,Homo_sapiens,19,15353385,15379792,-1
ENSG00000276043,Homo_sapiens,19,4909498,4962151,1
ENSG00000167491,Homo_sapiens,19,19385833,19508931,1
ENSG00000178904,Homo_sapiens,19,32405749,32485889,1
ENSG00000213799,Homo_sapiens,19,53333749,53354869,1
ENSG00000064545,Homo_sapiens,19,19130265,19138513,-1
ENSG00000079313,Homo_sapiens,19,1815970,1822044,-1
ENSG00000267157,Homo_sapiens,19,5784005,5785619,-1
ENSG00000142549,Homo_sapiens,19,51311848,51330354,1
ENSG00000130517,Homo_sapiens,19,18357506,18369948,1
ENSG00000197937,Homo_sapiens,19,53138705,53159060,-1
ENSG00000284491,Homo_sapiens,19,12802049,12804389,1
ENSG00000125652,Homo_sapiens,19,6373704,6375031,1
ENSG00000131126,Homo_sapiens,19,43414912,43418593,1
ENSG00000127220,Homo_sapiens,19,17301289,17303425,-1
ENSG00000185453,Homo_sapiens,19,48170692,48197620,1
ENSG00000131351,Homo_sapiens,19,17049766,17075200,-1
ENSG00000105568,Homo_sapiens,19,52201093,52226417,1
ENSG00000126461,Homo_sapiens,19,49642125,49658642,1
ENSG00000198466,Homo_sapiens,19,57855969,57864041,1
ENSG00000142539,Homo_sapiens,19,50415799,50428409,1
ENSG00000234465,Homo_sapiens,19,43576800,43582103,1
ENSG00000167380,Homo_sapiens,19,44165096,44177683,1
ENSG00000262874,Homo_sapiens,19,51388289,51390574,-1
ENSG00000007306,Homo_sapiens,19,41677409,41688167,-1
ENSG00000213762,Homo_sapiens,19,57614251,57624723,1
ENSG00000130529,Homo_sapiens,19,49157815,49211680,1
ENSG00000071655,Homo_sapiens,19,1581210,1586362,-1
ENSG00000083817,Homo_sapiens,19,57571566,57578927,-1
ENSG00000167604,Homo_sapiens,19,35888241,35900650,-1
ENSG00000133247,Homo_sapiens,19,55341794,55348120,1
ENSG00000197019,Homo_sapiens,19,40421592,40426025,-1
ENSG00000105048,Homo_sapiens,19,55132832,55149206,-1
ENSG00000125726,Homo_sapiens,19,6590103,6604103,-1
ENSG00000170954,Homo_sapiens,19,53107880,53132918,-1
ENSG00000196263,Homo_sapiens,19,56507850,56530221,1
ENSG00000198551,Homo_sapiens,19,11597420,11619135,1
ENSG00000039987,Homo_sapiens,19,12752593,12758455,1
ENSG00000171443,Homo_sapiens,19,55601879,55603138,1
ENSG00000189114,Homo_sapiens,19,45179669,45181466,1
ENSG00000197054,Homo_sapiens,19,11976822,11978275,1
ENSG00000181240,Homo_sapiens,19,6426039,6433762,-1
ENSG00000141985,Homo_sapiens,19,4360370,4400547,-1
ENSG00000267001,Homo_sapiens,19,2717769,2740048,-1
ENSG00000176531,Homo_sapiens,19,43502194,43504711,-1
ENSG00000105499,Homo_sapiens,19,48062122,48098208,-1
ENSG00000069399,Homo_sapiens,19,44751321,44759463,1
ENSG00000185361,Homo_sapiens,19,4640017,4655568,1
ENSG00000012061,Homo_sapiens,19,45420324,45429210,-1
ENSG00000089351,Homo_sapiens,19,35000426,35026469,1
ENSG00000105472,Homo_sapiens,19,50723387,50725718,1
ENSG00000167641,Homo_sapiens,19,38251865,38256532,-1
ENSG00000060566,Homo_sapiens,19,4153668,4171992,1
ENSG00000105088,Homo_sapiens,19,9854616,9913836,-1
ENSG00000160505,Homo_sapiens,19,55858697,55881854,1
ENSG00000130479,Homo_sapiens,19,17720156,17734490,1
ENSG00000063322,Homo_sapiens,19,39391323,39400561,1
ENSG00000123143,Homo_sapiens,19,14440260,14471866,1
ENSG00000126243,Homo_sapiens,19,35937120,35945193,1
ENSG00000161860,Homo_sapiens,19,12898786,12919276,-1
ENSG00000283201,Homo_sapiens,19,23222755,23274221,-1
ENSG00000170949,Homo_sapiens,19,53066614,53103434,-1
ENSG00000115257,Homo_sapiens,19,1481428,1490408,-1
ENSG00000121410,Homo_sapiens,19,58350594,58353129,-1
ENSG00000179262,Homo_sapiens,19,12949084,12953595,1
ENSG00000127452,Homo_sapiens,19,9818154,9818845,-1
ENSG00000105137,Homo_sapiens,19,15110581,15113622,1
ENSG00000064932,Homo_sapiens,19,1107641,1174256,-1
ENSG00000105290,Homo_sapiens,19,35874508,35879751,1
ENSG00000105251,Homo_sapiens,19,4279296,4290691,1
ENSG00000007255,Homo_sapiens,19,45163141,45178227,-1
ENSG00000182315,Homo_sapiens,19,7056209,7058640,-1
ENSG00000105552,Homo_sapiens,19,48796259,48811027,-1
ENSG00000129455,Homo_sapiens,19,50996008,51001702,-1
ENSG00000124302,Homo_sapiens,19,33621955,33773508,1
ENSG00000196110,Homo_sapiens,19,9295310,9305119,-1
ENSG00000204869,Homo_sapiens,19,46039748,46041016,-1
ENSG00000176533,Homo_sapiens,19,2511219,2702709,-1
ENSG00000267952,Homo_sapiens,19,7507082,7519526,1
ENSG00000181781,Homo_sapiens,19,463346,474983,-1
ENSG00000167645,Homo_sapiens,19,38309224,38317273,-1
ENSG00000130477,Homo_sapiens,19,17606051,17688365,-1
ENSG00000196350,Homo_sapiens,19,22286408,22317176,1
ENSG00000142065,Homo_sapiens,19,36334453,36379199,-1
ENSG00000105270,Homo_sapiens,19,36016036,36032671,-1
ENSG00000024422,Homo_sapiens,19,47713422,47741853,1
ENSG00000167600,Homo_sapiens,19,41201293,41206567,1
ENSG00000123154,Homo_sapiens,19,12670248,12675561,1
ENSG00000167637,Homo_sapiens,19,43833505,43848898,1
ENSG00000187550,Homo_sapiens,19,55529733,55536303,-1
ENSG00000175489,Homo_sapiens,19,18391149,18397611,-1
ENSG00000268643,Homo_sapiens,19,42234583,42255132,-1
ENSG00000221946,Homo_sapiens,19,35143279,35154143,1
ENSG00000213967,Homo_sapiens,19,23914882,23935474,1
ENSG00000018869,Homo_sapiens,19,56382752,56393520,-1
ENSG00000011422,Homo_sapiens,19,43665357,43668304,-1
ENSG00000077009,Homo_sapiens,19,3933103,3942414,1
ENSG00000125740,Homo_sapiens,19,45467995,45473012,1
ENSG00000186529,Homo_sapiens,19,15641309,15659771,1
ENSG00000105483,Homo_sapiens,19,48208104,48241063,-1
ENSG00000186204,Homo_sapiens,19,15673478,15697145,1
ENSG00000224916,Homo_sapiens,19,44942256,44949370,1
ENSG00000141854,Homo_sapiens,19,14072536,14075061,1
ENSG00000125503,Homo_sapiens,19,55091416,55117413,-1
ENSG00000171466,Homo_sapiens,19,9652713,9675082,-1
ENSG00000153902,Homo_sapiens,19,35131084,35134863,-1
ENSG00000188624,Homo_sapiens,19,46120071,46124674,-1
ENSG00000105383,Homo_sapiens,19,51225098,51240016,1
ENSG00000257446,Homo_sapiens,19,12043805,12052939,-1
ENSG00000196605,Homo_sapiens,19,9757475,9768617,-1
ENSG00000127530,Homo_sapiens,19,14799146,14800211,-1
ENSG00000063177,Homo_sapiens,19,48615393,48619127,-1
ENSG00000167470,Homo_sapiens,19,1248553,1259140,1
ENSG00000185988,Homo_sapiens,19,1524959,1535456,1
ENSG00000161031,Homo_sapiens,19,15468645,15479852,-1
ENSG00000129933,Homo_sapiens,19,19337206,19344865,1
ENSG00000187867,Homo_sapiens,19,14053365,14059159,-1
ENSG00000267748,Homo_sapiens,19,38289168,38304909,1
ENSG00000198521,Homo_sapiens,19,21804949,21852068,-1
ENSG00000216490,Homo_sapiens,19,18173667,18178117,1
ENSG00000167483,Homo_sapiens,19,17527304,17552024,1
ENSG00000262484,Homo_sapiens,19,38908980,38912158,-1
ENSG00000142453,Homo_sapiens,19,10871703,10922721,1
ENSG00000182324,Homo_sapiens,19,48461249,48466980,1
ENSG00000104888,Homo_sapiens,19,49429986,49442360,-1
ENSG00000267335,Homo_sapiens,19,49023146,49036885,-1
ENSG00000126259,Homo_sapiens,19,35857106,35866589,1
ENSG00000188269,Homo_sapiens,19,14827271,14828299,-1
ENSG00000131115,Homo_sapiens,19,44212538,44237268,1
ENSG00000126934,Homo_sapiens,19,4090333,4124117,-1
ENSG00000161551,Homo_sapiens,19,51872550,51887920,-1
ENSG00000105737,Homo_sapiens,19,42001786,42065805,-1
ENSG00000186020,Homo_sapiens,19,36544386,36573252,-1
ENSG00000183186,Homo_sapiens,19,405438,409170,-1
ENSG00000105143,Homo_sapiens,19,14972805,14979688,-1
ENSG00000204673,Homo_sapiens,19,49869033,49878356,-1
ENSG00000188033,Homo_sapiens,19,12577961,12610803,-1
ENSG00000269855,Homo_sapiens,19,58396090,58397079,1
ENSG00000167414,Homo_sapiens,19,46634076,46634685,-1
ENSG00000104901,Homo_sapiens,19,49364655,49375116,1
ENSG00000104823,Homo_sapiens,19,38831450,38831748,-1
ENSG00000108107,Homo_sapiens,19,55386357,55387231,1
ENSG00000104953,Homo_sapiens,19,2977580,2995179,1
ENSG00000072958,Homo_sapiens,19,16227605,16235345,1
ENSG00000161277,Homo_sapiens,19,36034985,36054762,-1
ENSG00000105370,Homo_sapiens,19,51379910,51387960,-1
ENSG00000132002,Homo_sapiens,19,14516719,14529251,-1
ENSG00000198003,Homo_sapiens,19,11420605,11435782,-1
ENSG00000124444,Homo_sapiens,19,43596605,43601157,1
ENSG00000178531,Homo_sapiens,19,7924485,7926166,-1
ENSG00000130816,Homo_sapiens,19,10133540,10195079,-1
ENSG00000251247,Homo_sapiens,19,36876801,36878180,1
ENSG00000130876,Homo_sapiens,19,33208664,33225850,-1
ENSG00000152475,Homo_sapiens,19,58367623,58381060,-1
ENSG00000068903,Homo_sapiens,19,38879108,38894873,-1
ENSG00000131864,Homo_sapiens,19,57128643,57131926,1
ENSG00000142039,Homo_sapiens,19,41319733,41320754,1
ENSG00000161807,Homo_sapiens,19,9114828,9115763,-1
ENSG00000174917,Homo_sapiens,19,5678915,5680488,-1
ENSG00000105287,Homo_sapiens,19,46674317,46717127,-1
ENSG00000268870,Homo_sapiens,19,12391949,12441082,-1
ENSG00000167595,Homo_sapiens,19,35766768,35768545,1
ENSG00000196466,Homo_sapiens,19,12390016,12401271,-1
ENSG00000223802,Homo_sapiens,19,18868552,18896144,-1
ENSG00000171777,Homo_sapiens,19,38409058,38426305,-1
ENSG00000152439,Homo_sapiens,19,57499941,57508161,1
ENSG00000089335,Homo_sapiens,19,34677639,34685237,1
ENSG00000197714,Homo_sapiens,19,57280485,57293569,1
ENSG00000127445,Homo_sapiens,19,9835341,9849682,1
ENSG00000221878,Homo_sapiens,19,42924879,42937166,-1
ENSG00000130810,Homo_sapiens,19,10110146,10111296,1
ENSG00000176222,Homo_sapiens,19,43872367,43880142,-1
ENSG00000171017,Homo_sapiens,19,7888505,7902021,1
ENSG00000178229,Homo_sapiens,19,57320509,57330776,1
ENSG00000076944,Homo_sapiens,19,7637105,7642118,1
ENSG00000142235,Homo_sapiens,19,48485271,48513189,-1
ENSG00000099341,Homo_sapiens,19,38374550,38383823,1
ENSG00000130724,Homo_sapiens,19,58554046,58554990,-1
ENSG00000105639,Homo_sapiens,19,17824786,17848032,-1
ENSG00000105717,Homo_sapiens,19,19561713,19618916,-1
ENSG00000105428,Homo_sapiens,19,5455431,5456856,1
ENSG00000172270,Homo_sapiens,19,575213,580775,1
ENSG00000197110,Homo_sapiens,19,39243553,39245129,-1
ENSG00000104880,Homo_sapiens,19,7447063,7472477,1
ENSG00000261857,Homo_sapiens,19,40775547,40777490,1
ENSG00000270011,Homo_sapiens,19,9324341,9382617,1
ENSG00000104827,Homo_sapiens,19,49022869,49024333,-1
ENSG00000104812,Homo_sapiens,19,48968130,48993310,-1
ENSG00000243207,Homo_sapiens,19,10106395,10114738,1
ENSG00000125734,Homo_sapiens,19,6733570,6737574,-1
ENSG00000104856,Homo_sapiens,19,45001449,45038198,1
ENSG00000171119,Homo_sapiens,19,5823802,5828324,1
ENSG00000105550,Homo_sapiens,19,48756087,48758333,1
ENSG00000196081,Homo_sapiens,19,23221599,23250360,-1
ENSG00000127511,Homo_sapiens,19,16863274,16878961,1
ENSG00000104967,Homo_sapiens,19,45933734,45973546,-1
ENSG00000104826,Homo_sapiens,19,49015980,49017081,-1
ENSG00000242852,Homo_sapiens,19,12461184,12484829,-1
ENSG00000130733,Homo_sapiens,19,10923837,10928650,-1
ENSG00000105618,Homo_sapiens,19,54115410,54131719,1
ENSG00000269711,Homo_sapiens,19,7678501,7682854,1
ENSG00000284638,Homo_sapiens,19,3482804,3483446,-1
ENSG00000254004,Homo_sapiens,19,36511779,36525299,-1
ENSG00000131409,Homo_sapiens,19,50516892,50568045,-1
ENSG00000105373,Homo_sapiens,19,47755474,47757057,1
ENSG00000161270,Homo_sapiens,19,35826380,35851838,-1
ENSG00000171817,Homo_sapiens,19,37595253,37614095,1
ENSG00000105369,Homo_sapiens,19,41877305,41880980,1
ENSG00000132026,Homo_sapiens,19,12825478,12830675,-1
ENSG00000099864,Homo_sapiens,19,735033,748329,1
ENSG00000227500,Homo_sapiens,19,1914521,1924701,1
ENSG00000175691,Homo_sapiens,19,2933218,2944933,-1
ENSG00000196172,Homo_sapiens,19,23739195,23758891,-1
ENSG00000182013,Homo_sapiens,19,46466498,46471563,-1
ENSG00000022556,Homo_sapiens,19,54966343,55001140,1
ENSG00000104885,Homo_sapiens,19,2222530,2230694,1
ENSG00000197933,Homo_sapiens,19,11721993,11738945,-1
ENSG00000181035,Homo_sapiens,19,19063999,19112888,1
ENSG00000086967,Homo_sapiens,19,50432903,50466321,1
ENSG00000196684,Homo_sapiens,19,16143736,16157329,1
ENSG00000183850,Homo_sapiens,19,23116975,23147219,1
ENSG00000125505,Homo_sapiens,19,54173413,54189882,-1
ENSG00000269190,Homo_sapiens,19,38942278,38952687,-1
ENSG00000160888,Homo_sapiens,19,13151975,13154908,1
ENSG00000130725,Homo_sapiens,19,58556201,58557089,-1
ENSG00000129351,Homo_sapiens,19,10654261,10692417,1
ENSG00000267673,Homo_sapiens,19,10310045,10316015,-1
ENSG00000237452,Homo_sapiens,19,45733251,45764534,1
ENSG00000197841,Homo_sapiens,19,34734949,34745378,1
ENSG00000269343,Homo_sapiens,19,57830313,57842576,1
ENSG00000105281,Homo_sapiens,19,46777211,46784786,-1
ENSG00000125753,Homo_sapiens,19,45507416,45526983,1
ENSG00000121289,Homo_sapiens,19,32968909,32971991,-1
ENSG00000105374,Homo_sapiens,19,51371698,51372410,-1
ENSG00000161609,Homo_sapiens,19,49394543,49417989,1
ENSG00000183668,Homo_sapiens,19,43211792,43269523,-1
ENSG00000178935,Homo_sapiens,19,57807082,57814913,-1
ENSG00000196826,Homo_sapiens,19,12461559,12551474,-1
ENSG00000141867,Homo_sapiens,19,15256099,15331906,-1
ENSG00000129946,Homo_sapiens,19,416583,460996,-1
ENSG00000189144,Homo_sapiens,19,37738302,37779590,-1
ENSG00000142252,Homo_sapiens,19,45079269,45090713,1
ENSG00000105699,Homo_sapiens,19,35248656,35267960,1
ENSG00000160439,Homo_sapiens,19,55044324,55063217,-1
ENSG00000160229,Homo_sapiens,19,20776425,20807322,1
ENSG00000229292,Homo_sapiens,19,55769141,55773179,1
ENSG00000167664,Homo_sapiens,19,4292599,4302385,-1
ENSG00000141968,Homo_sapiens,19,6816436,6857364,1
ENSG00000186838,Homo_sapiens,19,39515113,39520686,1
ENSG00000028277,Homo_sapiens,19,42110706,42132428,-1
ENSG00000125730,Homo_sapiens,19,6677704,6720682,-1
ENSG00000087074,Homo_sapiens,19,48874318,48876042,1
ENSG00000183019,Homo_sapiens,19,7677088,7679409,1
ENSG00000130167,Homo_sapiens,19,11296139,11306603,1
ENSG00000244165,Homo_sapiens,19,10111538,10115372,1
ENSG00000105497,Homo_sapiens,19,51571298,51592508,1
ENSG00000131849,Homo_sapiens,19,58433401,58437185,-1
ENSG00000130159,Homo_sapiens,19,11513139,11528827,-1
ENSG00000160570,Homo_sapiens,19,42215228,42217681,-1
ENSG00000167555,Homo_sapiens,19,52397868,52418404,1
ENSG00000170906,Homo_sapiens,19,54105965,54106961,1
ENSG00000197863,Homo_sapiens,19,36818322,36838027,-1
ENSG00000229676,Homo_sapiens,19,22634324,22667670,1
ENSG00000198816,Homo_sapiens,19,7516118,7521026,1
ENSG00000187556,Homo_sapiens,19,13877249,13880750,1
ENSG00000133243,Homo_sapiens,19,1987208,1997424,-1
ENSG00000011332,Homo_sapiens,19,38211009,38224250,-1
ENSG00000130528,Homo_sapiens,19,49151289,49155243,-1
ENSG00000273111,Homo_sapiens,19,41837074,41843727,-1
ENSG00000168661,Homo_sapiens,19,34926903,34945170,1
ENSG00000074855,Homo_sapiens,19,17329200,17334829,-1
ENSG00000170929,Homo_sapiens,19,9093179,9094213,1
ENSG00000130402,Homo_sapiens,19,38647746,38729432,1
ENSG00000180479,Homo_sapiens,19,37562392,37594790,-1
ENSG00000125656,Homo_sapiens,19,6364568,6368906,1
ENSG00000105664,Homo_sapiens,19,18782774,18791305,-1
ENSG00000176490,Homo_sapiens,19,2717399,2721341,-1
ENSG00000197561,Homo_sapiens,19,852291,856242,1
ENSG00000160469,Homo_sapiens,19,55302234,55312533,1
ENSG00000239382,Homo_sapiens,19,36009205,36014227,-1
ENSG00000179709,Homo_sapiens,19,55947903,55987913,1
ENSG00000167461,Homo_sapiens,19,16111897,16133010,1
ENSG00000267467,Homo_sapiens,19,44942274,44945016,1
ENSG00000104805,Homo_sapiens,19,48900798,48919259,1
ENSG00000127528,Homo_sapiens,19,16324817,16327874,1
ENSG00000171049,Homo_sapiens,19,51768378,51769032,1
ENSG00000099617,Homo_sapiens,19,1286154,1300237,1
ENSG00000212123,Homo_sapiens,19,5782960,5784765,-1
ENSG00000260001,Homo_sapiens,19,7916145,7919097,1
ENSG00000256771,Homo_sapiens,19,19878481,19893130,1
ENSG00000179943,Homo_sapiens,19,55593433,55597842,-1
ENSG00000105619,Homo_sapiens,19,54107020,54115288,-1
ENSG00000213096,Homo_sapiens,19,24033405,24129961,1
ENSG00000134815,Homo_sapiens,19,47349281,47382704,1
ENSG00000197857,Homo_sapiens,19,12272329,12294887,-1
ENSG00000179873,Homo_sapiens,19,55785404,55831994,-1
ENSG00000167232,Homo_sapiens,19,23359403,23395446,-1
ENSG00000011451,Homo_sapiens,19,15421508,15431150,-1
ENSG00000105258,Homo_sapiens,19,36113710,36115346,-1
ENSG00000228300,Homo_sapiens,19,1276021,1279244,1
ENSG00000179284,Homo_sapiens,19,12969482,12974762,1
ENSG00000130164,Homo_sapiens,19,11090599,11133816,1
ENSG00000229833,Homo_sapiens,19,7629824,7631030,1
ENSG00000245848,Homo_sapiens,19,33299934,33302564,-1
ENSG00000197124,Homo_sapiens,19,20004418,20039255,-1
ENSG00000142408,Homo_sapiens,19,53963143,53982849,1
ENSG00000221874,Homo_sapiens,19,52928475,52962823,-1
ENSG00000179751,Homo_sapiens,19,39202831,39204266,-1
ENSG00000083814,Homo_sapiens,19,57719751,57727624,-1
ENSG00000108106,Homo_sapiens,19,55401714,55407771,-1
ENSG00000074842,Homo_sapiens,19,4659688,4670362,-1
ENSG00000189430,Homo_sapiens,19,54906188,54912871,1
ENSG00000183760,Homo_sapiens,19,39099063,39110172,1
ENSG00000187116,Homo_sapiens,19,54307254,54313074,-1
ENSG00000104897,Homo_sapiens,19,2236504,2248679,1
ENSG00000104889,Homo_sapiens,19,12806677,12807976,1
ENSG00000102575,Homo_sapiens,19,11577160,11579008,-1
ENSG00000125744,Homo_sapiens,19,45485294,45497055,-1
ENSG00000198429,Homo_sapiens,19,11887784,11906267,1
ENSG00000188000,Homo_sapiens,19,9185594,9188817,1
ENSG00000105393,Homo_sapiens,19,17267376,17279048,1
ENSG00000099338,Homo_sapiens,19,38335996,38361749,1
ENSG00000198453,Homo_sapiens,19,36936655,36952741,1
